Naam,Pesar,Dokhtar,Rate
ساورينا,,1,بسيار نادر
ساوند,,1,بسيار نادر
ساونگ,1,,بسيار نادر
ساوه,1,,بسيار نادر
ساويز,,1,بسيار نادر
ساويس,,1,بسيار نادر
ساوين,,1,بسيار نادر
ساهر,1,,بسيار نادر
ساهره,,1,بسيار نادر
سايا,,1,معمولي
سايان,,1,بسيار نادر
ساير,1,,بسيار نادر
سايروس,1,,بسيار نادر
سايره,,1,بسيار نادر
سايمان,,1,بسيار نادر
ساينا,,1,بسيار نادر
ساينه,,1,بسيار نادر
سايه,,1,معمولي
سبا,,1,معمولي
سبارو,,1,بسيار نادر
سباك,1,,بسيار نادر
سبحان,1,,پركاربرد
سبحان قلي,1,,بسيار نادر
سبزارنگ,,1,بسيار نادر
سبزبهار,,1,بسيار نادر
سبزپري,,1,بسيار نادر
سبزك,,1,بسيار نادر
سبزه,,1,معمولي
سبزه بهار,,1,بسيار نادر
سبزه قبا,,1,بسيار نادر
سبزينه,,1,بسيار نادر
سبكتين,1,,بسيار نادر
سبلان,1,,معمولي
سپاكو,,1,بسيار نادر
سپتا,,1,بسيار نادر
سپنتا,1,1,بسيار نادر
سپنتامن,1,,بسيار نادر
سپند,1,,بسيار نادر
سپندان,1,,بسيار نادر
سپنسار,1,,بسيار نادر
سپهر,1,,معمولي
سپهراد,1,,بسيار نادر
سپهرار,1,,بسيار نادر
سپهرداد,1,,بسيار نادر
سپهرم,1,,بسيار نادر
سپيتا,,1,بسيار نادر
سپيته,,1,بسيار نادر
سپيدار,1,1,بسيار نادر
سپيده,,1,معمولي
سپيده گل,,1,بسيار نادر
سپينود,,1,بسيار نادر
ستُرگ,1,,بسيار نادر
ستاتيرا,,1,بسيار نادر
ستار,1,,بسيار نادر
ستاره,,1,بسيار نادر
ستاك,,1,بسيار نادر
ستايش,1,1,پركاربرد
ستوده,,1,معمولي
ستي,,1,معمولي
ستيا,,1,بسيار نادر
سجاد,1,,پركاربرد
سحاب,1,,معمولي
سحر,,1,پركاربرد
سحرناز,,1,معمولي
سحرنوش,,1,معمولي
سدا,,1,بسيار نادر
سداب,,1,بسيار نادر
سدرا,1,,بسيار نادر
سدن,,1,بسيار نادر
سدنا,,1,بسيار نادر
سديدالدين,1,,بسيار نادر
سديف,1,,بسيار نادر
سراج,1,,معمولي
سراج الدين,1,,معمولي
سرافراز,1,,معمولي
سرافيل,1,,بسيار نادر
سرايه,,1,بسيار نادر
سرآويز,,1,بسيار نادر
سرخ و سفيد,,1,بسيار نادر
سرخه,1,,بسيار نادر
سردار,1,,معمولي
سردين,1,1,بسيار نادر
سركب,1,,بسيار نادر
سركش,1,,بسيار نادر
سرگل,,1,بسيار نادر
سرمه,,1,معمولي
سرنا,,1,بسيار نادر
سرو,1,1,معمولي
سروآزاد,,1,بسيار نادر
سروبن,,1,بسيار نادر
سروتن,,1,بسيار نادر
سروجهان,,1,بسيار نادر
سرور,1,1,معمولي
سروش,1,1,معمولي
سروشا,,1,بسيار نادر
سروشان,1,,بسيار نادر
سروگل,,1,معمولي
سروناز,,1,معمولي
سروين,,1,بسيار نادر
سريتا,1,,بسيار نادر
سريرا,,1,بسيار نادر
سزاوار,1,,بسيار نادر
سعد,1,,بسيار نادر
سعدالدين,1,,بسيار نادر
سعدي,1,,بسيار نادر
سعيد,1,,پركاربرد
سعيده,,1,معمولي
سفندارمذ,1,,بسيار نادر
سقراط,1,,بسيار نادر
سكندر,1,,بسيار نادر
سكينه,,1,معمولي
سلاله,,1,بسيار نادر
سلجوق,1,,بسيار نادر
سلدا,,1,بسيار نادر
سلدوز,1,,بسيار نادر
سلطان,1,,بسيار نادر
سلطنت,,1,بسيار نادر
سلما,,1,معمولي
سلمان,1,,بسيار نادر
سلمه,,1,معمولي
سلمي,,1,بسيار نادر
سلنا,,1,معمولي
سلوي,,1,بسيار نادر
سليم,1,,بسيار نادر
سليمان,1,,معمولي
سليمه,,1,معمولي
سلينا,,1,بسيار نادر
سما,,1,معمولي
سمارسيس,1,1,بسيار نادر
سمان,1,1,معمولي
سمانه,,1,معمولي
سمر,,1,معمولي
سمك,1,,بسيار نادر
سمكنان,1,,بسيار نادر
سمن,,1,معمولي
سمن اندام,,1,بسيار نادر
سمن بر,,1,بسيار نادر
سمن پيكر,,1,بسيار نادر
سمن چهر,,1,بسيار نادر
سمن چهره,,1,بسيار نادر
سمن ديس,,1,بسيار نادر
سمن رخ,,1,بسيار نادر
سمن رو,,1,بسيار نادر
سمن سيما,,1,بسيار نادر
سمن گل,,1,بسيار نادر
سمن ناز,,1,بسيار نادر
سمنزار,,1,بسيار نادر
سمنوي,,1,بسيار نادر
سموئيل,1,,بسيار نادر
سميح,1,,بسيار نادر
سمير,1,,معمولي
سميرا,,1,پركاربرد
سميرا ميس,,1,بسيار نادر
سميع,1,,بسيار نادر
سمين,,1,معمولي
سمينه,,1,بسيار نادر
سميه,,1,پركاربرد
سنا,1,1,معمولي
سناءالدين,1,,بسيار نادر
سنان الدين,1,,بسيار نادر
سنباد,1,,بسيار نادر
سنبل,,1,معمولي
سنجر,1,,بسيار نادر
سنجه,1,,بسيار نادر
سندس,,1,بسيار نادر
سندوس,,1,بسيار نادر
سنيا,,1,بسيار نادر
سوان,1,1,بسيار نادر
سوبيتاي,1,,بسيار نادر
سوتيام,,1,بسيار نادر
سودا,,1,معمولي
سودابه,,1,معمولي
سوده,,1,معمولي
سوران,1,,بسيار نادر
سورن,1,,بسيار نادر
سورنا,1,,معمولي
سوره,,1,معمولي
سوري,,1,معمولي
سوريا,,1,بسيار نادر
سورين,1,,بسيار نادر
سوزان,,1,بسيار نادر
سوژا,,1,بسيار نادر
سوسا,,1,بسيار نادر
سوسن,,1,معمولي
سوسنك,,1,بسيار نادر
سوشا,1,,معمولي
سوشيا,1,,معمولي
سوشيان,1,,معمولي
سوشيانت,1,,بسيار نادر
سوشيانس,1,,بسيار نادر
سوفرا,1,,بسيار نادر
سوفي,,1,معمولي
سوفيا,,1,معمولي
سوگل,,1,معمولي
سوگلي,,1,معمولي
سوگند,,1,پركاربرد
سولاف,,1,بسيار نادر
سولماز,,1,معمولي
سولينا,,1,بسيار نادر
سوما,1,,معمولي
سوميا,,1,معمولي
سوميتا,,1,معمولي
سومينا,,1,معمولي
سونا,,1,بسيار نادر
سوناي,,1,بسيار نادر
سونيا,,1,معمولي
سويل,,1,بسيار نادر
سويل آي,,1,بسيار نادر
سوين,,1,بسيار نادر
سوينچ,,1,بسيار نادر
سها,1,1,معمولي
سهام,1,,بسيار نادر
سهام الدين,1,,بسيار نادر
سهراب,1,,معمولي
سهره,1,,بسيار نادر
سهند,1,,معمولي
سهي,,1,بسيار نادر
سهيزاد,,1,بسيار نادر
سهيل,1,,پركاربرد
سهيلا,,1,معمولي
سي بل,,1,بسيار نادر
سي سام,,1,بسيار نادر
سي سي,,1,بسيار نادر
سي سي كام,,1,بسيار نادر
سي سيماك,1,,بسيار نادر
سي گل,,1,معمولي
سيامك,1,,معمولي
سيامند,1,,معمولي
سياوخش,1,,بسيار نادر
سياوش,1,,معمولي
سياووش,1,,معمولي
سيب گل,,1,بسيار نادر
سيبويه,1,,معمولي
سيتا,,1,بسيار نادر
سيتاك,1,,بسيار نادر
سيحون,1,,معمولي
سيران,,1,بسيار نادر
سيرانوش,,1,بسيار نادر
سيرخ,1,,بسيار نادر
سيرنگ,,1,بسيار نادر
سيروان,1,,بسيار نادر
سيروس,1,,معمولي
سيف الدين,1,,معمولي
سيف الله,1,,معمولي
سيفور,,1,بسيار نادر
سيكا,1,,بسيار نادر
سيلوانا,,1,بسيار نادر
سيم تن,,1,بسيار نادر
سيما,,1,معمولي
سيمبر,,1,بسيار نادر
سيمرخ,,1,معمولي
سيمروي,,1,بسيار نادر
سيمك,1,,بسيار نادر
سيمگون,,1,بسيار نادر
سيميا,,1,بسيار نادر
سيمين,,1,معمولي
سيمين تن,,1,بسيار نادر
سيمين چهر,,1,بسيار نادر
سيمين دخت,,1,بسيار نادر
سيمين رخ,,1,بسيار نادر
سيمينه,,1,بسيار نادر
سينا,1,,پركاربرد
سينار,1,,بسيار نادر
سيناك,1,,بسيار نادر
سيندخت,,1,بسيار نادر
سينره,,1,بسيار نادر
سيوان,1,,بسيار نادر
شابرزين,1,,بسيار نادر
شابهار,1,,بسيار نادر
شاپرك,,1,بسيار نادر
شاپري,,1,بسيار نادر
شاپور,1,,بسيار نادر
شاخ شمشاد,,1,بسيار نادر
شاخ نبات,,1,بسيار نادر
شاخسار,,1,بسيار نادر
شاداب,,1,معمولي
شادان,1,1,معمولي
شادان بانو,,1,بسيار نادر
شادان برزين,1,,بسيار نادر
شادان هرمز,1,,بسيار نادر
شادانه,,1,بسيار نادر
شادآفريد,,1,بسيار نادر
شادبانو,,1,بسيار نادر
شادبه,1,,معمولي
شادبهر,,1,بسيار نادر
شادپري,,1,بسيار نادر
شادتگين,1,,بسيار نادر
شادخاتون,,1,بسيار نادر
شاددخت,,1,بسيار نادر
شاددل,,1,بسيار نادر
شادرخ,,1,بسيار نادر
شادرو,,1,معمولي
شادروز,,1,بسيار نادر
شادروي,,1,بسيار نادر
شادفر,,1,معمولي
شادك,,1,بسيار نادر
شادكام,,1,بسيار نادر
شادكامه,,1,بسيار نادر
شادكان,1,,بسيار نادر
شادگل,,1,بسيار نادر
شادگون,,1,بسيار نادر
شادلي,1,,بسيار نادر
شادلين,,1,بسيار نادر
شادمان,1,1,معمولي
شادمانه,,1,بسيار نادر
شادمهر,1,1,معمولي
شادن,1,,بسيار نادر
شادناز,,1,معمولي
شادنوش,,1,معمولي
شادور,,1,بسيار نادر
شادي,,1,معمولي
شادي افزا,,1,بسيار نادر
شادي آور,,1,بسيار نادر
شاديا,,1,معمولي
شاديار,1,,بسيار نادر
شاديان,,1,بسيار نادر
شاديانه,,1,بسيار نادر
شار,1,,بسيار نادر
شاران,,1,بسيار نادر
شارك,,1,بسيار نادر
شارمين,,1,بسيار نادر
شارمينا,,1,بسيار نادر
شارو,1,,بسيار نادر
شاروسين,1,,بسيار نادر
شارونا,1,1,بسيار نادر
شارويه,1,,بسيار نادر
شاريس,,1,بسيار نادر
شارين,,1,بسيار نادر
شارينا,,1,بسيار نادر
شاسپرم,,1,بسيار نادر
شاعي,1,,بسيار نادر
شاكر,1,,بسيار نادر
شاكل,1,,بسيار نادر
شاليزار,,1,بسيار نادر
شامان,,1,بسيار نادر
شامل,1,,بسيار نادر
شاميرام,,1,بسيار نادر
شانا,,1,بسيار نادر
شانديز,1,1,بسيار نادر
شانلي,1,,بسيار نادر
شانو,,1,بسيار نادر
شانيا,1,,بسيار نادر
شاور,1,,بسيار نادر
شاوران,1,,بسيار نادر
شاوگ,1,,بسيار نادر
شاويس,1,,بسيار نادر
شاه اسپرم,,1,بسيار نادر
شاه آذر,,1,بسيار نادر
شاه آفريد,,1,بسيار نادر
شاه بانگ,,1,بسيار نادر
شاه برزين,1,,بسيار نادر
شاه بهرام,1,,بسيار نادر
شاه پر,1,,بسيار نادر
شاه پرك,,1,بسيار نادر
شاه پرند,,1,بسيار نادر
شاه پري,,1,بسيار نادر
شاه پسند,,1,بسيار نادر
شاه پونه,,1,بسيار نادر
شاه جهان,,1,بسيار نادر
شاه خاتون,,1,بسيار نادر
شاه سرور,1,,بسيار نادر
شاه صنم,,1,بسيار نادر
شاه فريد,,1,بسيار نادر
شاه محمد,1,,بسيار نادر
شاه مراد,1,,بسيار نادر
شاه موبد,1,,بسيار نادر
شاه ناز,,1,بسيار نادر
شاه هژبر,1,,بسيار نادر
شاها,1,1,بسيار نادر
شاهارا,1,,بسيار نادر
شاهبانو,,1,بسيار نادر
شاهپور,1,,بسيار نادر
شاهجان,,1,بسيار نادر
شاهد,1,,معمولي
شاهدانه,,1,بسيار نادر
شاهدخت,,1,بسيار نادر
شاهديس,1,,بسيار نادر
شاهر,1,,بسيار نادر
شاهرخ,1,,معمولي
شاهرو,,1,معمولي
شاهروز,1,,بسيار نادر
شاهسار,1,,بسيار نادر
شاهسون,1,,بسيار نادر
شاهفرند,,1,بسيار نادر
شاهفور,1,,بسيار نادر
شاهقلي,1,,بسيار نادر
شاهك,1,,بسيار نادر
شاهكار,1,,بسيار نادر
شاهكام,1,,بسيار نادر
شاهگل,1,1,معمولي
شاهمير,1,,بسيار نادر
شاهنده,1,1,بسيار نادر
شاهنگ,1,1,بسيار نادر
شاهو,1,,بسيار نادر
شاهوش,1,,بسيار نادر
شاهوي,1,,بسيار نادر
شاهيار,1,,بسيار نادر
شاهيده,,1,بسيار نادر
شاهين,1,,معمولي
شايا,,1,معمولي
شايار,1,,بسيار نادر
شايان,1,,پركاربرد
شايان دخت,,1,بسيار نادر
شايسته,,1,معمولي
شايگان,1,,معمولي
شايلي,,1,بسيار نادر
شاين,,1,بسيار نادر
شاينا,1,1,معمولي
شايورد,1,,بسيار نادر
شب افروز,,1,بسيار نادر
شب آرا,,1,بسيار نادر
شب بو,,1,بسيار نادر
شب پره,,1,بسيار نادر
شب دخت,,1,بسيار نادر
شب ناز,,1,معمولي
شباب,1,1,بسيار نادر
شبان,1,,بسيار نادر
شباويز,1,,معمولي
شباهنگ,,1,معمولي
شبديس,,1,بسيار نادر
شبگون,,1,بسيار نادر
شبلي,1,,بسيار نادر
شبنا,1,,بسيار نادر
شبنم,,1,معمولي
شبيب,1,,بسيار نادر
شبير,1,,معمولي
شجاع الدين,1,,معمولي
شجاع الملك,1,,بسيار نادر
شداد,1,,بسيار نادر
شراره,,1,معمولي
شرافت,,1,معمولي
شراكيم,1,,بسيار نادر
شرف,1,,معمولي
شرف الدين,1,,بسيار نادر
شرف الزمان,1,,بسيار نادر
شرميلا,,1,بسيار نادر
شرمين,,1,معمولي
شرمين دخت,,1,بسيار نادر
شرمينه,,1,معمولي
شروان,1,,معمولي
شروانه,,1,بسيار نادر
شروين,1,1,معمولي
شري,,1,بسيار نادر
شريف,1,,معمولي
شريف الدين,1,,معمولي
شرين,,1,بسيار نادر
شعبان,1,,معمولي
شعري,,1,بسيار نادر
شعله,,1,معمولي
شعيب,1,,بسيار نادر
شغاد,1,,بسيار نادر
شفا,1,,معمولي
شفروه,1,,بسيار نادر
شفق,1,1,معمولي
شفيع,1,,معمولي
شفيعه,,1,معمولي
شفيقه,,1,معمولي
شقاقل,,1,بسيار نادر
شقايق,,1,پركاربرد
شقيق,1,,بسيار نادر
شكال,,1,بسيار نادر
شكر,,1,بسيار نادر
شكرالله,1,,معمولي
شكربانو,,1,بسيار نادر
شكردخت,,1,بسيار نادر
شكرعلي,1,,بسيار نادر
شكرناز,,1,معمولي
شكرين,,1,بسيار نادر
شكفته,,1,معمولي
شكور,1,,بسيار نادر
شكوفا,,1,معمولي
شكوفه,,1,معمولي
شكوه,,1,معمولي
شكوه دخت,,1,بسيار نادر
شكوه ناز,,1,بسيار نادر
شكوهنده,,1,بسيار نادر
شكوهه,,1,معمولي
شكيب,1,,معمولي
شكيبا,,1,معمولي
شكيبه,,1,معمولي
شكيل,1,,بسيار نادر
شكيلا,,1,معمولي
شگون,,1,بسيار نادر
شلاله,,1,بسيار نادر
شليخا,1,,بسيار نادر
شلير,,1,بسيار نادر
شماخ,1,,بسيار نادر
شماس,1,,بسيار نادر
شماساس,1,,بسيار نادر
شمايل,,1,بسيار نادر
شمس,1,,معمولي
شمس الدين,1,,معمولي
شمس الملوك,,1,بسيار نادر
شمس الهدي,1,,بسيار نادر
شمس ايران,,1,بسيار نادر
شمسا,,1,بسيار نادر
شمسي,,1,معمولي
شمشاد,,1,بسيار نادر
شمشير,1,,بسيار نادر
شمعون,1,,بسيار نادر
شمه,,1,بسيار نادر
شميرا,,1,بسيار نادر
شميران,1,,بسيار نادر
شميس,,1,معمولي
شميسا,,1,معمولي
شميسه,,1,معمولي
شميل,1,,بسيار نادر
شميلا,,1,بسيار نادر
شميم,,1,معمولي
شميمه,,1,بسيار نادر
شمينه,1,,بسيار نادر
شناز,,1,بسيار نادر
شناسا,,1,بسيار نادر
شنايا,,1,بسيار نادر
شنبليد,,1,بسيار نادر
شنتيا,1,,بسيار نادر
شنطوس,1,,بسيار نادر
شنگان,1,,بسيار نادر
شنگل,1,,بسيار نادر
شوان,1,,بسيار نادر
شوانه,,1,بسيار نادر
شوخ شنگ,,1,بسيار نادر
شود,,1,بسيار نادر
شورانگيز,,1,معمولي
شورآفرين,,1,بسيار نادر
شورعلي,1,,بسيار نادر
شوشا,,1,بسيار نادر
شوق انگيز,,1,بسيار نادر
شوق علي,1,,بسيار نادر
شوكا,,1,معمولي
شوكت,1,1,معمولي
شه موبد,1,,بسيار نادر
شهاب,1,1,معمولي
شهاب الدين,1,,معمولي
شهباز,1,,معمولي
شهبال,1,,بسيار نادر
شهبان,1,,بسيار نادر
شهبانو,,1,معمولي
شهبد,1,,معمولي
شهپر,,1,بسيار نادر
شهداد,1,,معمولي
شهدخت,,1,معمولي
شهددخت,,1,بسيار نادر
شهديس,,1,معمولي
شهراد,1,,معمولي
شهراز,,1,بسيار نادر
شهرام,1,,معمولي
شهران,1,,معمولي
شهرآرا,,1,معمولي
شهرآزاد,1,,بسيار نادر
شهرآشوب,1,1,بسيار نادر
شهرآگيم,1,,بسيار نادر
شهربان,1,,معمولي
شهربانو,,1,معمولي
شهرتاش,1,,بسيار نادر
شهرخ,1,1,بسيار نادر
شهرخواست,1,,بسيار نادر
شهرداد,1,,بسيار نادر
شهردخت,,1,بسيار نادر
شهرزاد,1,1,معمولي
شهرسپ,1,,بسيار نادر
شهرگان,1,,بسيار نادر
شهرگل,,1,معمولي
شهرگير,1,,بسيار نادر
شهرناز,,1,معمولي
شهرنواز,,1,معمولي
شهرنوش,1,1,معمولي
شهرو,1,1,معمولي
شهروان,1,,بسيار نادر
شهرود,1,1,بسيار نادر
شهروز,1,,معمولي
شهروين,1,,بسيار نادر
شهرويه,,1,بسيار نادر
شهره,,1,معمولي
شهريار,1,,معمولي
شهرين,1,,بسيار نادر
شهريور,1,,بسيار نادر
شهزاد,1,1,معمولي
شهزاده,,1,معمولي
شهسان,1,,بسيار نادر
شهفور,1,,بسيار نادر
شهگل,,1,معمولي
شهلا,,1,معمولي
شهمردان,1,,بسيار نادر
شهمير,1,,بسيار نادر
شهناز,,1,معمولي
شهنام,1,,بسيار نادر
شهنواز,,1,معمولي
شهنوش,1,,معمولي
شهياد,1,,معمولي
شهيار,1,,معمولي
شهير,1,,بسيار نادر
شهيره,,1,بسيار نادر
شهين,,1,معمولي
شهين بانو,,1,معمولي
شيانا,1,,بسيار نادر
شيبا,,1,معمولي
شيبان,1,,بسيار نادر
شيبت,1,,بسيار نادر
شيث,1,,معمولي
شيد,1,1,بسيار نادر
شيدا,,1,پركاربرد
شيداب,1,,بسيار نادر
شيدبانو,,1,بسيار نادر
شيدخت,,1,بسيار نادر
شيددخت,,1,بسيار نادر
شيدر,,1,بسيار نادر
شيدرخ,,1,بسيار نادر
شيدرنگ,1,,بسيار نادر
شيدسب,1,,بسيار نادر
شيدوش,1,,بسيار نادر
شيده,,1,بسيار نادر
شيرات,,1,بسيار نادر
شيراحمد,1,,بسيار نادر
شيراك,1,,بسيار نادر
شيران,1,,بسيار نادر
شيرآزاد,1,,بسيار نادر
شيرخون,1,,بسيار نادر
شيردل,1,,معمولي
شيرزاد,1,,معمولي
شيرزن,,1,بسيار نادر
شيرزيل,1,,بسيار نادر
شيرعلي,1,,بسيار نادر
شيرگل,1,1,معمولي
شيرمحمد,1,,بسيار نادر
شيرو,1,,معمولي
شيرويه,1,,بسيار نادر
شيرين,,1,معمولي
شيرين بانو,,1,معمولي
شيرين جهان,,1,بسيار نادر
شيرين دخت,,1,معمولي
شيرين گل,,1,معمولي
شيفته,,1,معمولي
شيلا,,1,معمولي
شيلان,,1,بسيار نادر
شيلر,,1,بسيار نادر
شيما,,1,معمولي
شينا,,1,بسيار نادر
شيناب,,1,بسيار نادر
شيناز,,1,بسيار نادر
شيوا,,1,پركاربرد
شيوه,1,1,بسيار نادر
صاباح گل,,1,بسيار نادر
صابر,1,,معمولي
صابره,,1,معمولي
صابرين,,1,معمولي
صاحب,1,,معمولي
صادق,1,,معمولي
صادقه,,1,معمولي
صارم,1,,بسيار نادر
صاعد,1,,معمولي
صالح,1,,معمولي
صالحه,,1,معمولي
صانع,1,,بسيار نادر
صايب,1,,معمولي
صاين,1,,بسيار نادر
صائب,1,,معمولي
صائم,1,,بسيار نادر
صائن,1,,بسيار نادر
صائن الدين,1,,بسيار نادر
صبا,1,1,پركاربرد
صباح,1,,معمولي
صباحت,,1,بسيار نادر
صبار,1,,بسيار نادر
صبح آسا,,1,بسيار نادر
صبح جبين,,1,بسيار نادر
صبح چهر,,1,بسيار نادر
صبح چهره,,1,بسيار نادر
صبرا,,1,معمولي
صبرناز,,1,بسيار نادر
صبرينه,,1,بسيار نادر
صبريه,,1,بسيار نادر
صحرا,,1,معمولي
صحو,,1,بسيار نادر
صدا,,1,بسيار نادر
صداقت,1,1,معمولي
صدپر,,1,بسيار نادر
صدر,1,,معمولي
صدرا,1,,معمولي
صدرالدين,1,,معمولي
صدران,1,,بسيار نادر
صدف,,1,معمولي
صدوق,1,,بسيار نادر
صديده,1,,بسيار نادر
صديق,1,,معمولي
صديقا,1,,بسيار نادر
صديقه,,1,معمولي
صغري,,1,معمولي
صفا,1,,معمولي
صفار,1,,معمولي
صفاعلي,1,,بسيار نادر
صفاناز,,1,معمولي
صفدر,1,,معمولي
صفر,1,,معمولي
صفورا,,1,معمولي
صفي,1,,معمولي
صفي الدين,1,,معمولي
صفي الله,1,,معمولي
صفيعلي,1,,معمولي
صفيه,,1,معمولي
صلات,1,,بسيار نادر
صلاح,1,,معمولي
صلاح الدين,1,,معمولي
صمد,1,,معمولي
صمدالله,1,,بسيار نادر
صمصام,1,,معمولي
صميم,1,,بسيار نادر
صنعان,1,,معمولي
صنم,,1,معمولي
صنم بر,1,,بسيار نادر
صنم دخت,,1,بسيار نادر
صنم رو,,1,بسيار نادر
صنم گل,,1,بسيار نادر
صنم ناز,,1,بسيار نادر
صنوبر,,1,معمولي
صوفيا,,1,معمولي
صونا,,1,بسيار نادر
صهبا,,1,معمولي
صياد,1,,معمولي
صيام,1,,بسيار نادر
ضحا,1,1,معمولي
ضحاك,1,,بسيار نادر
ضحي,,1,معمولي
ضرغام,1,,معمولي
ضرغامه,,1,بسيار نادر
ضيا,1,,معمولي
ضياءالدين,1,,معمولي
ضيافت,1,,بسيار نادر
ضيغم,1,,معمولي
طارق,1,,بسيار نادر
طالب,1,,معمولي
طالع,1,,بسيار نادر
طالوت,1,,بسيار نادر
طاوس,,1,معمولي
طاووس,,1,معمولي
طاها,1,,پركاربرد
طاهر,1,,معمولي
طاهره,,1,معمولي
طائر,1,,معمولي
طباطبا,1,,بسيار نادر
طراوت,,1,معمولي
طرب انگيز,,1,بسيار نادر
طرب آرا,,1,بسيار نادر
طرحان,1,,بسيار نادر
طرخان,1,,بسيار نادر
طرفه,,1,معمولي
طرق,1,,بسيار نادر
طرلان,,1,بسيار نادر
طره,,1,معمولي
طره خاتون,,1,بسيار نادر
طرهان,1,,بسيار نادر
طغاتركان,,1,بسيار نادر
طغاتيمور,1,,بسيار نادر
طغان,1,,بسيار نادر
طغرل,1,,بسيار نادر
طلا,,1,معمولي
طلاسان,,1,بسيار نادر
طلاگون,,1,بسيار نادر
طلاناز,,1,معمولي
طلايه,,1,بسيار نادر
طلب علي,1,,بسيار نادر
طلحه,1,,بسيار نادر
طلعت,,1,معمولي
طلوع,,1,معمولي
طليعه,,1,معمولي
طمغاج,1,,بسيار نادر
طناز,,1,معمولي
طنان,,1,معمولي
طنين,,1,معمولي
طوبي,,1,معمولي
طورگ,1,,بسيار نادر
طوس,1,,معمولي
طوش,1,,بسيار نادر
طوطي,,1,معمولي
طوطيا,,1,بسيار نادر
طوطيانوش,1,,بسيار نادر
طوفان,1,,بسيار نادر
طه,1,,معمولي
طهماسپ,1,,معمولي
طهمورث,1,,معمولي
طهور,1,,معمولي
طهورا,,1,معمولي
طيب,1,,معمولي
طيبه,,1,معمولي
طيفور,1,,بسيار نادر
طيلا,,1,بسيار نادر
طينوش,1,,بسيار نادر
طيهوج,1,,بسيار نادر
ظافر,1,,بسيار نادر
ظريف,1,1,معمولي
ظريفه,,1,معمولي
ظفر,1,,معمولي
ظفرداد,1,,بسيار نادر
ظفردخت,,1,بسيار نادر
ظهور,1,,معمولي
ظهيرالدين,1,,معمولي
ظهيره,,1,معمولي
عابد,1,,معمولي
عابده,,1,معمولي
عابس,1,,بسيار نادر
عاتكه,,1,بسيار نادر
عاد,1,,بسيار نادر
عادل,1,,معمولي
عادله,,1,معمولي
عاديات,,1,بسيار نادر
عارف,1,,معمولي
عارف پاشا,1,,بسيار نادر
عارفه,,1,معمولي
عاشق,1,,بسيار نادر
عاشور,1,,بسيار نادر
عاصفه,,1,معمولي
عاصم,1,,بسيار نادر
عاطف,1,,بسيار نادر
عاطفه,,1,پركاربرد
عاقله,,1,بسيار نادر
عاكف,1,,بسيار نادر
عالم,,1,بسيار نادر
عالم تاج,,1,بسيار نادر
عالمه,,1,معمولي
عاليه,,1,معمولي
عامر,1,,معمولي
عامره,,1,معمولي
عاموس,1,,بسيار نادر
عايشه,,1,بسيار نادر
عباد,1,,معمولي
عبادالله,1,,بسيار نادر
عباس,1,,پركاربرد
عبدالامين,1,,معمولي
عبدالباسط,1,,بسيار نادر
عبدالباقي,1,,بسيار نادر
عبدالجبار,1,,بسيار نادر
عبدالجليل,1,,بسيار نادر
عبدالجواد,1,,معمولي
عبدالحسن,1,,معمولي
عبدالحسين,1,,معمولي
عبدالحق,1,,معمولي
عبدالحليم,1,,بسيار نادر
عبدالحميد,1,,معمولي
عبدالحي,1,,بسيار نادر
عبدالخالق,1,,بسيار نادر
عبدالرحمان,1,,معمولي
عبدالرحمن,1,,معمولي
عبدالرحيم,1,,معمولي
عبدالرزاق,1,,معمولي
عبدالرسول,1,,معمولي
عبدالرشيد,1,,بسيار نادر
عبدالرضا,1,,معمولي
عبدالرفيع,1,,بسيار نادر
عبدالستار,1,,بسيار نادر
عبدالصمد,1,,معمولي
عبدالعزيز,1,,بسيار نادر
عبدالعظيم,1,,معمولي
عبدالعلي,1,,بسيار نادر
عبدالغفار,1,,بسيار نادر
عبدالغفور,1,,بسيار نادر
عبدالغني,1,,بسيار نادر
عبدالفتاح,1,,معمولي
عبدالقادر,1,,بسيار نادر
عبدالقاهر,1,,معمولي
عبدالكريم,1,,معمولي
عبداللطيف,1,,بسيار نادر
عبدالله,1,,معمولي
عبدالمجيد,1,,بسيار نادر
عبدالمحمد,1,,بسيار نادر
عبدالملك,1,,بسيار نادر
عبدالناصر,1,,بسيار نادر
عبدالنبي,1,,بسيار نادر
عبدالواحد,1,,بسيار نادر
عبدالوهاب,1,,بسيار نادر
عبدالهادي,1,,بسيار نادر
عبيدالله,1,,بسيار نادر
عثمان,1,,بسيار نادر
عجب نوش,,1,بسيار نادر
عدل,1,,بسيار نادر
عدن,1,,بسيار نادر
عدنان,1,,بسيار نادر
عذرا,,1,بسيار نادر
عرشيا,1,,پركاربرد
عرشيان,,1,بسيار نادر
عرفان,1,1,پركاربرد
عرفانه,,1,معمولي
عروج,1,,معمولي
عزالدين,1,,بسيار نادر
عزالنسا,,1,بسيار نادر
عزت,1,1,بسيار نادر
عزت الزمان,,1,معمولي
عزت السادات,,1,معمولي
عزت الله,1,,معمولي
عزت الملوك,,1,بسيار نادر
عزت بانو,,1,بسيار نادر
عزت زمان,,1,بسيار نادر
عزت ملك,,1,بسيار نادر
عزت نسا,,1,بسيار نادر
عزرا,1,,معمولي
عزير,,1,بسيار نادر
عزيز,1,,معمولي
عزيزالدين,1,,بسيار نادر
